"","ID","block","nitrogen","pom","suillus","co2","rando"
"51",51,"Block_4",0,0,0,0,0.324451861903071
"52",52,"Block_4",0,1,1,0,0.337860870175064
"53",53,"Block_4",0,0,1,0,0.391721418593079
"54",54,"Block_4",0,1,1,0,0.392443087417632
"55",55,"Block_4",1,0,1,0,0.428516051266342
"56",56,"Block_4",1,1,1,0,0.436815345427021
"57",57,"Block_4",0,0,1,0,0.443892433540896
"58",58,"Block_4",1,0,0,0,0.582959291059524
"59",59,"Block_4",1,1,0,0,0.594485321780667
"60",60,"Block_4",0,1,0,0,0.667095375945792
"61",61,"Block_4",1,1,0,0,0.813732522306964
"62",62,"Block_4",0,0,0,0,0.919416390825063
"63",63,"Block_4",1,0,0,0,0.978485830361024
"64",64,"Block_4",1,1,1,0,0.999767360743135
"65",65,"Block_5",0,0,1,0,0.0337024719920009
"66",66,"Block_5",1,0,0,0,0.145648352103308
"67",67,"Block_5",1,1,1,0,0.18822975223884
"68",68,"Block_5",0,1,1,0,0.311444292776287
"69",69,"Block_5",1,0,1,0,0.521791063714772
"70",70,"Block_5",0,0,1,0,0.649451917270198
"71",71,"Block_5",1,0,1,0,0.715687528718263
"72",72,"Block_5",0,1,0,0,0.719347509322688
"73",73,"Block_5",1,1,0,0,0.757215150166303
"74",74,"Block_5",1,1,1,0,0.765317307086661
"75",75,"Block_5",0,0,0,0,0.858851333381608
"76",76,"Block_5",1,0,0,0,0.863852395676076
"77",77,"Block_5",0,0,0,0,0.884143159259111
"78",78,"Block_5",1,1,0,0,0.900433640694246
"79",79,"Block_5",0,1,0,0,0.927895809989423
"80",80,"Block_5",0,1,1,0,0.958931816974655
"81",81,"Block_6",1,0,1,0,0.0431686688680202
"82",82,"Block_6",1,1,1,0,0.0872524201404303
"83",83,"Block_6",0,1,1,0,0.148138453951105
"84",84,"Block_6",1,0,0,0,0.284149590181187
"85",85,"Block_6",1,1,1,0,0.448282433440909
"86",86,"Block_6",1,1,0,0,0.62605918571353
"87",87,"Block_6",0,0,0,0,0.633763964753598
"88",88,"Block_6",1,0,0,0,0.658015731489286
"89",89,"Block_6",0,1,1,0,0.693080510245636
"90",90,"Block_6",0,0,0,0,0.773457780480385
"91",91,"Block_6",0,1,0,0,0.781627731630579
"92",92,"Block_6",0,0,1,0,0.797426871489733
"93",93,"Block_6",0,0,1,0,0.811111822957173
"94",94,"Block_6",1,0,1,0,0.813817763933912
"95",95,"Block_6",0,1,0,0,0.891165137290955
"96",96,"Block_6",1,1,0,0,0.974512663902715
"97",97,"Block_7",0,1,1,0,0.000258926302194595
"98",98,"Block_7",0,1,0,0,0.00131522864103317
"99",99,"Block_7",1,1,1,0,0.00731148733757436
"100",100,"Block_7",1,1,1,0,0.112254987470806
"101",101,"Block_7",0,0,1,0,0.141727505717427
"102",102,"Block_7",1,1,0,0,0.356612868839875
"103",103,"Block_7",0,1,0,0,0.467986630508676
"104",104,"Block_7",0,0,0,0,0.548151645343751
"105",105,"Block_7",1,1,0,0,0.731353543000296
"106",106,"Block_7",1,0,0,0,0.819515777286142
"107",107,"Block_7",0,0,0,0,0.842866287333891
"108",108,"Block_7",1,0,1,0,0.875616698060185
"109",109,"Block_7",1,0,1,0,0.897259122459218
"110",110,"Block_7",1,0,0,0,0.919427467277274
"111",111,"Block_7",0,1,1,0,0.961795791285113
"112",112,"Block_7",0,0,1,0,0.967432647477835
"113",113,"Block_8",0,0,0,0,0.0779170987661928
"114",114,"Block_8",0,0,1,0,0.105833573965356
"115",115,"Block_8",1,0,0,0,0.193094754125923
"116",116,"Block_8",1,0,0,0,0.233570704236627
"117",117,"Block_8",0,1,0,0,0.264343005139381
"118",118,"Block_8",1,0,1,0,0.324553570710123
"119",119,"Block_8",1,1,1,0,0.347406785236672
"120",120,"Block_8",0,1,1,0,0.448594113113359
"121",121,"Block_8",1,0,1,0,0.531427751295269
"122",122,"Block_8",0,1,0,0,0.536160117713735
"123",123,"Block_8",1,1,0,0,0.66378905181773
"124",124,"Block_8",1,1,1,0,0.747718604048714
"125",125,"Block_8",0,0,1,0,0.754442560020834
"126",126,"Block_8",0,0,0,0,0.936746077844873
"127",127,"Block_8",1,1,0,0,0.962798034073785
"128",128,"Block_8",0,1,1,0,0.974714272422716
"129",129,"Block_9",1,0,0,0,0.0304599988739938
"130",130,"Block_9",0,0,1,0,0.0705040148459375
"131",131,"Block_9",0,1,1,0,0.166420202236623
"132",132,"Block_9",0,1,1,0,0.218607689719647
"133",133,"Block_9",0,0,0,0,0.229425155557692
"134",134,"Block_9",0,0,1,0,0.267047976143658
"135",135,"Block_9",1,0,1,0,0.418230259791017
"136",136,"Block_9",0,1,0,0,0.447063308209181
"137",137,"Block_9",1,1,1,0,0.655396056827158
"138",138,"Block_9",1,1,1,0,0.696688711177558
"139",139,"Block_9",1,0,1,0,0.816277864389122
"140",140,"Block_9",1,0,0,0,0.857428699033335
"141",141,"Block_9",1,1,0,0,0.877701062941924
"142",142,"Block_9",1,1,0,0,0.881872168276459
"143",143,"Block_9",0,1,0,0,0.946254097856581
"144",144,"Block_9",0,0,0,0,0.988341386197135
"145",145,"Block_10",0,1,0,1,0.0226515172980726
"146",146,"Block_10",0,1,0,1,0.0274473004974425
"147",147,"Block_10",0,0,1,1,0.0688293867278844
"148",148,"Block_10",1,0,1,1,0.129105982603505
"149",149,"Block_10",1,0,1,1,0.21023275051266
"150",150,"Block_10",0,1,1,1,0.259204901754856
"151",151,"Block_10",0,0,1,1,0.343528513330966
"152",152,"Block_10",0,0,0,1,0.369285583961755
"153",153,"Block_10",1,1,1,1,0.435353573411703
"154",154,"Block_10",1,0,0,1,0.47582501010038
"155",155,"Block_10",1,1,0,1,0.481349564623088
"156",156,"Block_10",1,0,0,1,0.481420514872298
"157",157,"Block_10",0,1,1,1,0.782382170902565
"158",158,"Block_10",1,1,1,1,0.874884698772803
"159",159,"Block_10",1,1,0,1,0.945662245387211
"160",160,"Block_10",0,0,0,1,0.953804799355567
"161",161,"Block_11",0,1,1,1,0.136215211590752
"162",162,"Block_11",0,1,0,1,0.158505509607494
"163",163,"Block_11",0,0,1,1,0.196145421359688
"164",164,"Block_11",0,0,0,1,0.31640522624366
"165",165,"Block_11",1,1,1,1,0.404868378071114
"166",166,"Block_11",1,0,1,1,0.437691364437342
"167",167,"Block_11",1,0,0,1,0.448058107867837
"168",168,"Block_11",0,1,1,1,0.512602132512257
"169",169,"Block_11",1,1,1,1,0.568947898223996
"170",170,"Block_11",0,0,0,1,0.628923498094082
"171",171,"Block_11",0,0,1,1,0.634891137247905
"172",172,"Block_11",1,1,0,1,0.738786195870489
"173",173,"Block_11",1,1,0,1,0.756961663719267
"174",174,"Block_11",1,0,0,1,0.821729698684067
"175",175,"Block_11",0,1,0,1,0.854638345306739
"176",176,"Block_11",1,0,1,1,0.91054419032298
"177",177,"Block_12",1,1,0,1,0.0654014518950135
"178",178,"Block_12",0,1,0,1,0.0702576921321452
"179",179,"Block_12",1,0,0,1,0.11976612964645
"180",180,"Block_12",1,0,0,1,0.141353382961825
"181",181,"Block_12",0,0,0,1,0.146381288999692
"182",182,"Block_12",1,0,1,1,0.311767890583724
"183",183,"Block_12",0,1,0,1,0.398069232702255
"184",184,"Block_12",0,0,1,1,0.405445669777691
"185",185,"Block_12",1,1,1,1,0.479452013736591
"186",186,"Block_12",0,1,1,1,0.533455797471106
"187",187,"Block_12",0,0,0,1,0.582552671199664
"188",188,"Block_12",1,1,0,1,0.656411060132086
"189",189,"Block_12",0,1,1,1,0.672221356071532
"190",190,"Block_12",1,1,1,1,0.792259702226147
"191",191,"Block_12",1,0,1,1,0.921328688971698
"192",192,"Block_12",0,0,1,1,0.93367430777289
"193",193,"Block_13",1,1,1,1,0.0110209165140986
"194",194,"Block_13",0,0,0,1,0.0431435022037476
"195",195,"Block_13",1,0,1,1,0.0447711769957095
"196",196,"Block_13",0,1,0,1,0.168113409774378
"197",197,"Block_13",1,1,0,1,0.244854445103556
"198",198,"Block_13",1,0,0,1,0.254760968266055
"199",199,"Block_13",0,1,1,1,0.316237326944247
"200",200,"Block_13",1,0,1,1,0.356523010414094
"201",201,"Block_13",0,0,0,1,0.418842499377206
"202",202,"Block_13",0,1,0,1,0.42082998668775
"203",203,"Block_13",0,0,1,1,0.450652862433344
"204",204,"Block_13",1,1,0,1,0.491667725844309
"205",205,"Block_13",0,1,1,1,0.70114237931557
"206",206,"Block_13",1,0,0,1,0.899023026926443
"207",207,"Block_13",1,1,1,1,0.918432465754449
"208",208,"Block_13",0,0,1,1,0.929805147694424
"209",209,"Block_14",1,1,0,1,0.0243582858238369
"210",210,"Block_14",1,1,0,1,0.0764557679649442
"211",211,"Block_14",0,1,1,1,0.121801226399839
"212",212,"Block_14",1,1,1,1,0.141888899495825
"213",213,"Block_14",1,0,1,1,0.193316684570163
"214",214,"Block_14",0,1,0,1,0.231279837200418
"215",215,"Block_14",0,0,1,1,0.314817383186892
"216",216,"Block_14",0,0,0,1,0.415466628270224
"217",217,"Block_14",0,0,1,1,0.459941094042733
"218",218,"Block_14",0,0,0,1,0.681370039703324
"219",219,"Block_14",1,1,1,1,0.743075707228854
"220",220,"Block_14",1,0,1,1,0.759319293312728
"221",221,"Block_14",1,0,0,1,0.805197386536747
"222",222,"Block_14",0,1,0,1,0.92699760524556
"223",223,"Block_14",0,1,1,1,0.960167334182188
"224",224,"Block_14",1,0,0,1,0.975985639030114
"225",225,"Block_15",1,0,1,1,0.121917774667963
"226",226,"Block_15",0,1,0,1,0.133675174089149
"227",227,"Block_15",1,0,0,1,0.244654804700986
"228",228,"Block_15",1,1,1,1,0.246214630547911
"229",229,"Block_15",1,0,0,1,0.260939122643322
"230",230,"Block_15",0,1,1,1,0.262519668089226
"231",231,"Block_15",1,1,1,1,0.408163711195812
"232",232,"Block_15",0,1,1,1,0.436049662530422
"233",233,"Block_15",0,0,0,1,0.488714981125668
"234",234,"Block_15",0,1,0,1,0.521189832594246
"235",235,"Block_15",1,1,0,1,0.529471750836819
"236",236,"Block_15",0,0,0,1,0.574628619244322
"237",237,"Block_15",0,0,1,1,0.769486636156216
"238",238,"Block_15",1,0,1,1,0.85352412587963
"239",239,"Block_15",1,1,0,1,0.954708260018378
"240",240,"Block_15",0,0,1,1,0.976903179660439
"241",241,"Block_16",1,0,1,1,0.0911443119402975
"242",242,"Block_16",1,1,0,1,0.0918481678236276
"243",243,"Block_16",1,1,0,1,0.219703238923103
"244",244,"Block_16",1,1,1,1,0.240655230823904
"245",245,"Block_16",0,0,1,1,0.323233661008999
"246",246,"Block_16",1,1,1,1,0.368968735449016
"247",247,"Block_16",0,1,0,1,0.459774106740952
"248",248,"Block_16",0,1,1,1,0.522599252872169
"249",249,"Block_16",0,1,1,1,0.559010090772063
"250",250,"Block_16",1,0,0,1,0.637778766220436
"251",251,"Block_16",0,1,0,1,0.64928994118236
"252",252,"Block_16",1,0,1,1,0.656635985942557
"253",253,"Block_16",0,0,0,1,0.754943157313392
"254",254,"Block_16",0,0,0,1,0.787986879702657
"255",255,"Block_16",1,0,0,1,0.90800393698737
"256",256,"Block_16",0,0,1,1,0.968036704231054
